design_case,pP_true,true_effect,P_Stage1_Go,P_Stage1_Go_and_Final_Go,P_Final_Go_without_IA,Opportunity_loss_from_binding_IA
both_effective,0.4500000000,0.1500000000,0.8092997391,0.7446408071,0.8648386537,0.1201978466
both_effective,0.4500000000,0.2000000000,0.8901191539,0.8643282827,0.9536925203,0.0893642376
both_effective,0.5000000000,0.0000000000,0.4535236163,0.2148668154,0.2907276811,0.0758608657
both_effective,0.5000000000,0.0500000000,0.5831784578,0.3839491764,0.4958569461,0.1119077697
both_effective,0.5000000000,0.1000000000,0.7049056804,0.5748984042,0.7119751044,0.1370767002
both_effective,0.5000000000,0.1500000000,0.8089131587,0.7435664323,0.8635992511,0.1200328188
both_effective,0.5000000000,0.2000000000,0.8873938378,0.8584217733,0.9505546313,0.0921328580
both_effective,0.5500000000,0.0000000000,0.4532985741,0.2142086763,0.2896792440,0.0754705677
both_effective,0.5500000000,0.0500000000,0.5843579846,0.3850994572,0.4969761798,0.1118767226
both_effective,0.5500000000,0.1000000000,0.7054846643,0.5753156101,0.7139161773,0.1386005672
both_effective,0.5500000000,0.1500000000,0.8096183650,0.7442292555,0.8638037222,0.1195744667
both_effective,0.5500000000,0.2000000000,0.8865441113,0.8559554561,0.9489890198,0.0930335637
both_effective,0.6000000000,0.0000000000,0.4507543437,0.2108199218,0.2851125080,0.0742925862
both_effective,0.6000000000,0.0500000000,0.5847229520,0.3847700824,0.4965520536,0.1117819712
both_effective,0.6000000000,0.1000000000,0.7057249614,0.5750601366,0.7143409854,0.1392808488
both_effective,0.6000000000,0.1500000000,0.8114490878,0.7466478623,0.8654399160,0.1187920537
both_effective,0.6000000000,0.2000000000,0.8874751618,0.8566320757,0.9489534484,0.0923213727
both_effective,0.6500000000,0.0000000000,0.4456029828,0.2044061359,0.2766312576,0.0722251216
both_effective,0.6500000000,0.0500000000,0.5842356807,0.3829922253,0.4945454969,0.1115532716
both_effective,0.6500000000,0.1000000000,0.7055674728,0.5741905650,0.7132039931,0.1390134281
both_effective,0.6500000000,0.1500000000,0.8145166360,0.7509672189,0.8685875319,0.1176203130
both_effective,0.6500000000,0.2000000000,0.8903275753,0.8605475963,0.9502788237,0.0897312274
