N_per_arm,N_total,N_budget_70pct,f1_target,n1_per_arm,N1_total,f1_actual,pipeline_count_to_cross_70pct,lambda_max_for_5pct,endpoint_delay_months,max_post_stage1_rate_per_month,ordinary_rate_per_month,max_slowdown_multiplier
44,132,93,0.35,15,45,0.3409090909,48,37.20026754,6,6.20004459,6,1
44,132,93,0.35,15,45,0.3409090909,48,37.20026754,6,6.20004459,9,0.6888938433
44,132,93,0.35,15,45,0.3409090909,48,37.20026754,6,6.20004459,12,0.5166703825
44,132,93,0.4,18,54,0.4090909091,39,29.32697228,6,4.887828713,6,0.8146381189
44,132,93,0.4,18,54,0.4090909091,39,29.32697228,6,4.887828713,9,0.5430920793
44,132,93,0.4,18,54,0.4090909091,39,29.32697228,6,4.887828713,12,0.4073190594
44,132,93,0.45,20,60,0.4545454545,33,24.15268897,6,4.025448161,6,0.6709080269
44,132,93,0.45,20,60,0.4545454545,33,24.15268897,6,4.025448161,9,0.4472720179
44,132,93,0.45,20,60,0.4545454545,33,24.15268897,6,4.025448161,12,0.3354540134
44,132,93,0.5,22,66,0.5,27,19.05810903,6,3.176351505,6,0.5293919175
44,132,93,0.5,22,66,0.5,27,19.05810903,6,3.176351505,9,0.352927945
44,132,93,0.5,22,66,0.5,27,19.05810903,6,3.176351505,12,0.2646959588
48,144,101,0.35,17,51,0.3541666667,50,38.96473258,6,6.494122097,6,1
48,144,101,0.35,17,51,0.3541666667,50,38.96473258,6,6.494122097,9,0.721569122
48,144,101,0.35,17,51,0.3541666667,50,38.96473258,6,6.494122097,12,0.5411768414
48,144,101,0.4,19,57,0.3958333333,44,33.68661725,6,5.614436208,6,0.9357393679
48,144,101,0.4,19,57,0.3958333333,44,33.68661725,6,5.614436208,9,0.6238262459
48,144,101,0.4,19,57,0.3958333333,44,33.68661725,6,5.614436208,12,0.4678696839
48,144,101,0.45,22,66,0.4583333333,35,25.86963902,6,4.311606504,6,0.718601084
48,144,101,0.45,22,66,0.4583333333,35,25.86963902,6,4.311606504,9,0.4790673893
48,144,101,0.45,22,66,0.4583333333,35,25.86963902,6,4.311606504,12,0.359300542
48,144,101,0.5,24,72,0.5,29,20.74597724,6,3.457662873,6,0.5762771455
48,144,101,0.5,24,72,0.5,29,20.74597724,6,3.457662873,9,0.3841847637
48,144,101,0.5,24,72,0.5,29,20.74597724,6,3.457662873,12,0.2881385727
52,156,110,0.35,18,54,0.3461538462,56,44.28519115,6,7.380865192,6,1
52,156,110,0.35,18,54,0.3461538462,56,44.28519115,6,7.380865192,9,0.8200961324
52,156,110,0.35,18,54,0.3461538462,56,44.28519115,6,7.380865192,12,0.6150720993
52,156,110,0.4,21,63,0.4038461538,47,36.31988389,6,6.053313982,6,1
52,156,110,0.4,21,63,0.4038461538,47,36.31988389,6,6.053313982,9,0.6725904425
52,156,110,0.4,21,63,0.4038461538,47,36.31988389,6,6.053313982,12,0.5044428318
52,156,110,0.45,23,69,0.4423076923,41,31.06614531,6,5.177690885,6,0.8629484807
52,156,110,0.45,23,69,0.4423076923,41,31.06614531,6,5.177690885,9,0.5752989872
52,156,110,0.45,23,69,0.4423076923,41,31.06614531,6,5.177690885,12,0.4314742405
52,156,110,0.5,26,78,0.5,32,23.29745261,6,3.882908769,6,0.647151461
52,156,110,0.5,26,78,0.5,32,23.29745261,6,3.882908769,9,0.4314343079
52,156,110,0.5,26,78,0.5,32,23.29745261,6,3.882908769,12,0.3235757308
